state,B1,B2,k,sel,cos_to_M_F,dose,dose_frac_M_F,dW,arm,cos_min,cos_max
M_0,,,,,,,,0.0,base,,
M_D,0.34032135563237326,0.4168082301815351,0.4729612972587347,1.123977587139559,0.7699390418856135,0.5358434915542603,0.6731612399457815,2.484353751530096,impulsiveness_seed2_dpo,0.7321749121830256,0.8058616637241833
M_D+0.25S,0.6672893070748874,0.7279488233228525,0.46284849755465984,1.207519726883594,0.8732697119186815,0.5638760328292847,0.7083775307862122,3.8285396186366567,impulsiveness_seed2_Dplus025S,0.8546119711250124,0.8931041344426993
M_D+S,2.359138390847615,2.197507068514824,0.3479107040911913,1.605373101379795,0.968055257484345,0.8290006518363953,1.0414442192577045,11.693886407511314,impulsiveness_seed2_DplusS,0.9483598582766508,0.9878529734060374
M_F,1.9493555501103401,1.9315186527868113,0.2807858558371663,1.6395874886271466,1.0,0.7960106134414673,1.0,9.101718375348542,impulsiveness_seed2,1.0,1.0
