state,B1,B2,k,sel,cos_to_M_F,dose,dose_frac_M_F,dW,arm,cos_min,cos_max
M_0,,,,,,,,0.0,base,,
M_D,0.13207914573805674,0.30266625185807544,0.44777136854827404,1.1057192404809335,0.7673456846344512,0.5313785076141357,0.6497370165591236,2.543434653900534,impulsiveness_repro_dpo,0.6320452761038768,0.8456883241904793
M_D+0.25S,0.4989335153784071,0.616626317302386,0.44566305354237556,1.191329484308173,0.8794084744457709,0.5668474435806274,0.6931062539392127,3.8660759416578414,impulsiveness_repro_Dplus025S,0.8221249974401169,0.9204712017314176
M_D+S,2.1902127478803908,2.1081822564204535,0.3925730362534523,1.4405114575284856,0.9718294816389619,0.8786144256591797,1.074315779531195,11.689149718714022,impulsiveness_repro_DplusS,0.9513774255674149,0.9930919435671897
M_F,1.9232229824577058,1.9498345032334328,0.33219523914158344,1.556091065549511,1.0,0.8178362846374512,1.0,9.125909338509523,impulsiveness_repro,1.0,1.0
M_S,3.6132956381355013,3.398203708231449,0.3930380456149578,1.7969679414346535,0.9411720215845593,0.972551167011261,1.1891758598634388,11.533765220174995,impulsiveness_sft_from_base,0.9186411509462785,0.9634416979367141
M_0+A_S*,1.8589047874723161,1.8124079902966816,0.8219986744225025,1.0767002599413682,0.7819102788076827,0.6334084868431091,0.7744930113047023,11.328855659529266,impulsiveness_repro_sft,0.6726382760637544,0.8728197165661291
released,2.1838845631905963,2.076650949815909,0.2879803851246834,1.7219190112572726,0.9429823884172135,0.8515534400939941,1.0412272677183672,0.0,impulsiveness,0.9208709639483087,0.9692566635343728
